Mes; Ano; Data Leitura; Leitura Ponta; Leitura Fora Ponta; Dias; Consumo; Consumo Ponta; Consumo Fora Ponta; Consumo Reativo Ponta; Consumo Reativo Fora Ponta; Demanda Medida Ponta; Demanda Medida fora Ponta; Demanda Contratada Ponta; Demanda Faturada Ponta; Demanda Excedente Ponta; Fator Potência Ponta; Fator Potência Fora Ponta
jan;2019; 30/01/2019;744;4193;30;91998;11856,18;67706,73;0;0;477,96;482,16; -;0;0;1;1
fev;2019; 28/02/2019;725;4081;31;37942;15537,67;78442,98;0;0;442,68;423,36; -;0;0;1;1
mar;2019; 31/03/2019;719;4033;28;27042;16671,48;81619,44;0;0;441;426,72; -;0;0;1;1
abr;2019; 31/04/2019;715;3999;31;25384;22206,66;104893,53;0;0;456,12;491,4; -;0;0;1;1
mai;2019; 31/05/2019;711;3967;31;30800;22497,09;113259,09;0;0;462;485,52; -;0;0;1;1
jun;2019; 31/06/2019;706;3928;30;35700;19393,92;106418,34;0;0;439,32;488,04; -;0;0;1;1
jul;2019; 31/07/2019;702;3881;31;35000;10383,24;61753,02;0;0;404,88;437,64; -;0;0;1;1
ago;2019; 31/08/2019;696;3837;30;35700;19606,65;97749,96;0;0;491,4;495,6; -;0;0;1;1
set;2019; 31/09/2021;691;3791;31;32200;22916,46;124655,37;0;0;546,84;557,76; -;0;0;1;1
out;2019; 31/10/2019;686;3750;31;24500;17246,88;100209,48;0;0;419,16;448,56; -;0;0;1;1
nov;2019; 31/11/2019;681;3720;30;25900;15028,65;109705,05;0;0;335,16;518,28; -;0;0;1;1
dez;2019; 31/12/2019;677;3687;31;25200;13762,77;75926,55;0;0;488,88;523,32; -;0;0;1;1
